original_model_type,original_model_name,original_model_id,alternative_model_type,alternative_model_name,alternative_model_id
Amplifier2,AMP1,,NC10149C_812,NC10149C_8121,d02188a4-2378-4946-87ba-db14ef400653
Amplifier2,AMP2,,HGC708A,HGC708A2,93637816-71ed-4226-85ff-a419977cec05
Amplifier2,AMP3,,NC116431C_812P40,NC116431C_812P403,f341e0eb-eda5-4d15-9e4b-fa23be715b28
Amplifier2,AMP4,,NC116431C_812P40,NC116431C_812P404,f341e0eb-eda5-4d15-9e4b-fa23be715b28
Amplifier2,AMP5,,HGC708A,HGC708A5,93637816-71ed-4226-85ff-a419977cec05
Amplifier2,AMP6,,NC116431C_812P40,NC116431C_812P406,f341e0eb-eda5-4d15-9e4b-fa23be715b28
Attenuator,ATTEN1,,HGC232H,HGC232H1,ed72ca9f-3a57-414c-a132-21ca06d79436
Attenuator,ATTEN2,,HGC232H,HGC232H2,ed72ca9f-3a57-414c-a132-21ca06d79436
Attenuator,ATTEN3,,HGC232H,HGC232H3,ed72ca9f-3a57-414c-a132-21ca06d79436
Attenuator,ATTEN4,,HGC232H,HGC232H4,ed72ca9f-3a57-414c-a132-21ca06d79436
BPF_Butterworth,BPF1,,BMBP10_4_9SC,BMBP10_4_9SC1,bcf5c3bc-e138-4ed7-b201-9c3c44d61d19
Equalizer,Equalizer1,,NC6059C_812,NC6059C_8121,a966f133-1aae-460a-8daa-37b22405a1d4
HPF_Butterworth,HPF1,,MH174,MH1741,36e8380d-d906-402d-b6a9-0afd9e0c9041
HPF_Butterworth,HPF2,,MH174,MH1742,36e8380d-d906-402d-b6a9-0afd9e0c9041
LPF_Butterworth,LPF1,,MH193,MH1931,a2674867-6ecf-4a72-9ff2-ffd05aff23f1
LPF_Butterworth,LPF2,,MH193,MH1932,a2674867-6ecf-4a72-9ff2-ffd05aff23f1
PwrSplit2,PWR11,,NC6529C_812,NC6529C_8121,09da7cdf-a983-44a8-ac1e-23998a52e586
PhaseShifterSML,PhaseShifterSML1,,NC12246C_812PD,NC12246C_812PD1,b08907c6-c128-4d55-9922-3e9dee5b8c1b
PhaseShifterSML,PhaseShifterSML2,,NC12246C_812PD,NC12246C_812PD2,b08907c6-c128-4d55-9922-3e9dee5b8c1b
PhaseShifterSML,PhaseShifterSML3,,NC12246C_812PD,NC12246C_812PD3,b08907c6-c128-4d55-9922-3e9dee5b8c1b
PhaseShifterSML,PhaseShifterSML4,,NC12246C_812PD,NC12246C_812PD4,b08907c6-c128-4d55-9922-3e9dee5b8c1b
SPDTStatic,SPDTStatic1,,MH1800,MH18001,e3402929-6b71-4add-93e1-d16c0b325fb3
SPDTStatic,SPDTStatic2,,MH1800,MH18002,e3402929-6b71-4add-93e1-d16c0b325fb3
SPDTStatic,SPDTStatic3,,MH1800,MH18003,e3402929-6b71-4add-93e1-d16c0b325fb3
SPDTStatic,SPDTStatic4,,MH1800,MH18004,e3402929-6b71-4add-93e1-d16c0b325fb3
SPDTStatic,SPDTStatic5,,MH1800,MH18005,e3402929-6b71-4add-93e1-d16c0b325fb3
SPDTStatic,SPDTStatic6,,MH1800,MH18006,e3402929-6b71-4add-93e1-d16c0b325fb3
